Income after income taxes,,"1,022","4,166"
Income taxes,,"1,024",504
Financial result,,"1,307","2,342"
Income taxes paid,,"(2,159)","(2,034)"
"Depreciation, amortization and impairment losses (loss reversals)",,"3,056","6,503"
Change in pension provisions,,(295),(129)
(Gains) losses on retirements of noncurrent assets,,(217),"(1,692)"
Decrease (increase) in inventories,,(173),"(2,170)"
Decrease (increase) in trade accounts receivable,,(61),269
(Decrease) increase in trade accounts payable,,854,612
